"region3","region1","X36081","X36047","X36061","X36005","X36085","X36081b","X36047b","X36061b","X36005b","X36085b"
"Jamaica","Americas",0.0429114200616493,0.0749534193000904,0.0102631707004172,0.108334384460141,0.01194705894575,45369,69071,4640,48097,1150
"St. Vincent and the Grenadines","Americas",0.000878677273849373,0.0123068542265542,0.000382657011028485,0.0010158389793859,0.00162064451785826,929,11341,173,451,156
"Trinidad and Tobago","Americas",0.0242444936066534,0.0580291887633353,0.00890285820456446,0.0142262505405795,0.0150948492592823,25633,53475,4025,6316,1453
"West Indies","Americas",0.00311083913206737,0.00649688177888899,0.00258791157747588,0.00553418264379415,0.00122587213530304,3289,5987,1170,2457,118
"Other Caribbean","Americas",0.00272210246947093,0.0120713734605581,0.00295950913731857,0.0207942914804671,0.00613974942342455,2878,11124,1338,9232,591
"Mexico","Americas",0.0476471973599957,0.0562147931838627,0.0517007224033515,0.0959663759550238,0.0829853103118702,50376,51803,23374,42606,7988
"Belize","Americas",0.00128822222495462,0.00273461534705199,0.00181596188470743,0.0036917075104512,0.000477882357829999,1362,2520,821,1639,46
"Austria","Europe",0.00116526415649346,0.00109059064436002,0.00459851980305329,0.000551841574167508,0.000727212283654346,1232,1005,2079,245,70
"Costa Rica","Americas",0.00157386327630286,0.00202817304906356,0.00143109298344179,0.00118026524434193,0.00203619439423217,1664,1869,647,524,196
"El Salvador","Americas",0.0144485188754823,0.00762002736785677,0.00476883535131453,0.00796679039930806,0.00509048598558042,15276,7022,2156,3537,490
"Guatemala","Americas",0.00913294699277669,0.00611598892697817,0.00418710821894174,0.00886550382009514,0.00542292588667955,9656,5636,1893,3936,522
"Honduras","Americas",0.00630112809298657,0.00848598889442323,0.00793405028068887,0.0317230070635722,0.0115107315755574,6662,7820,3587,14084,1108
"Nicaragua","Americas",0.00182923772618373,0.00169285711960361,0.00293739023494698,0.00421426769496901,0.00070643478983565,1934,1560,1328,1871,68
"Panama","Americas",0.00313637657705546,0.0123806454343318,0.00254146188249554,0.00421652010955745,0.00215047061023499,3316,11409,1149,1872,207
"Other Central America","Americas",0.000120120574573596,0.000163859887859067,5.75091461661307e-05,0.000105863485656624,0.000114276216002826,127,151,26,47,11
"Argentina","Americas",0.00447851118587382,0.00253928567940542,0.0075668765013205,0.0022231331987891,0.00459182613393173,4735,2340,3421,987,442
"Bolivia","Americas",0.00246483635699835,0.000602266475243592,0.000546336888578241,0.000619414011820672,0.00273224043715847,2606,555,247,275,263
"Belgium","Europe",0.000505073911986615,0.00104392855708889,0.002506071638701,0.000137397289894767,9.34987221841302e-05,534,962,1133,61,9
"Brazil","Americas",0.00560877958442065,0.00195004118200493,0.010679006065003,0.000824383739368603,0.00167258825240499,5930,1797,4828,366,161
"Chile","Americas",0.00265873177264864,0.00109059064436002,0.00254588566296986,0.000927994810436788,0.00253485424588086,2811,1005,1151,412,244
"Colombia","Americas",0.0486724784847026,0.00803238999955508,0.0122074222188798,0.0085726899235981,0.0147000768767271,51460,7402,5519,3806,1415
"Ecuador","Americas",0.0713837795607749,0.0241101919765084,0.0267351172965393,0.0438387451347845,0.0237278979409504,75472,22218,12087,19463,2284
"Guyana","Americas",0.071187046651237,0.0471135158363528,0.00504753352119654,0.0302251513622603,0.0106276880882628,75264,43416,2282,13419,1023
"Peru","Americas",0.0187548887655105,0.00441336532399223,0.00734789936784177,0.00677526308202393,0.013650813438883,19829,4067,3322,3008,1314
"Uruguay","Americas",0.00125606396089555,0.000491579663577202,0.00115460670379693,0.000977547931382442,0.000103887469093478,1328,453,522,434,10
